date,total_bytes,tcp_udp_icmp_rate,ipaddr_top
2004-02-02,2151362352,94.92%-4.43%-0.42%,7.3%-7.3%-5.6%-5.6%-5.5%
2004-02-03,2139852412,94.67%-4.50%-0.44%,8.5%-8.5%-8.1%-8.1%-4.5%
2004-02-04,1940675896,95.23%-3.74%-0.48%,8.8%-3.4%-3.2%-2.8%-2.6%
2004-02-05,2123950651,96.56%-2.64%-0.47%,7.8%-6.2%-4.9%-4.4%-3.4%
2004-02-06,2274019600,95.84%-3.43%-0.38%,11.5%-11.5%-7.9%-6.8%-5.1%
2004-02-07,2288670935,94.96%-4.12%-0.34%,11.6%-11.6%-10.1%-6.0%-5.5%
2004-02-08,1794713444,94.69%-4.12%-0.50%,22.4%-22.4%-9.8%-9.8%-7.1%
2004-02-09,2321126276,96.12%-2.93%-0.37%,7.4%-7.4%-6.5%-6.5%-5.8%
2004-02-10,1858672906,95.86%-3.62%-0.49%,14.7%-14.7%-4.6%-4.6%-4.6%
2004-02-11,1677281062,93.79%-5.63%-0.58%,24.9%-24.9%-9.3%-9.3%-3.9%
2004-02-12,2198434406,96.77%-2.81%-0.39%,22.4%-21.9%-7.2%-7.2%-3.9%
2004-02-13,2062533509,96.63%-2.95%-0.40%,11.4%-11.4%-5.2%-4.6%-4.2%
2004-02-14,1420517077,96.23%-3.08%-0.67%,9.9%-9.6%-4.8%-4.4%-3.9%
2004-02-15,1960307751,95.18%-4.37%-0.43%,18.1%-18.1%-8.6%-8.6%-7.3%
2004-02-16,2189927730,97.15%-2.35%-0.48%,10.0%-10.0%-5.9%-5.9%-5.8%
2004-02-17,2062239713,96.56%-3.03%-0.38%,8.0%-8.0%-4.3%-4.3%-3.6%
2004-02-18,2121424417,96.84%-2.73%-0.40%,12.3%-12.3%-5.5%-3.0%-3.0%
2004-02-19,2259557603,96.84%-2.74%-0.39%,15.6%-9.4%-7.8%-6.8%-5.1%
2004-02-20,2239464293,97.54%-2.04%-0.38%,17.0%-15.8%-10.2%-9.6%-6.1%
2004-02-21,1871463120,95.98%-3.62%-0.38%,20.5%-20.5%-16.6%-14.3%-5.1%
2004-02-22,1980475555,97.56%-1.87%-0.56%,21.8%-21.8%-8.3%-7.0%-6.6%
2004-02-23,1992678244,97.11%-2.44%-0.41%,20.2%-20.2%-4.3%-3.6%-3.6%
2004-02-24,2119719076,97.10%-2.43%-0.45%,7.2%-7.2%-6.6%-6.4%-4.4%
2004-02-25,1805825223,96.68%-2.87%-0.43%,26.1%-26.1%-6.0%-4.5%-3.3%
2004-02-26,2063303167,97.22%-2.34%-0.41%,18.1%-18.1%-5.9%-5.8%-5.7%
2004-02-27,2179862372,95.43%-4.13%-0.41%,10.2%-10.2%-6.4%-6.0%-5.5%
2004-02-28,1921715921,96.86%-2.77%-0.36%,16.0%-16.0%-11.4%-9.0%-9.0%
2004-03-01,2208047436,97.23%-2.34%-0.39%,8.5%-7.9%-7.9%-4.0%-3.6%
2004-03-02,2233082501,96.72%-2.95%-0.30%,10.5%-10.5%-5.9%-5.1%-4.0%
2004-03-03,2158398372,95.34%-4.35%-0.29%,9.3%-9.3%-7.5%-7.5%-7.4%
2004-03-04,2291327268,94.22%-5.40%-0.35%,12.9%-12.9%-9.2%-7.9%-7.9%
2004-03-05,2128255015,96.71%-2.90%-0.37%,12.8%-12.8%-8.0%-6.7%-3.9%
2004-03-06,1983901870,96.99%-2.68%-0.31%,21.6%-21.6%-9.6%-5.4%-4.9%
2004-03-07,1777580405,97.35%-2.26%-0.37%,32.2%-32.2%-14.3%-5.3%-4.7%
2004-03-08,2400115196,97.35%-2.29%-0.33%,7.4%-7.2%-7.2%-6.9%-6.9%
2004-03-09,4847882655,22.84%-77.02%-0.12%,76.2%-76.2%-6.8%-3.8%-2.8%
2004-03-10,2185955269,95.80%-3.88%-0.30%,11.5%-7.1%-7.1%-4.7%-3.3%
2004-03-11,2243428322,95.30%-4.32%-0.34%,11.9%-10.1%-8.5%-8.5%-5.0%
2004-03-12,2100208685,91.69%-7.95%-0.35%,9.6%-7.8%-7.8%-7.2%-4.6%
2004-03-13,2085061938,97.35%-2.27%-0.37%,24.5%-10.7%-10.7%-5.7%-4.3%
2004-03-14,2017439330,93.61%-5.97%-0.40%,31.9%-15.9%-15.9%-6.2%-6.2%
2004-03-15,2205717488,95.77%-3.91%-0.29%,14.0%-8.0%-8.0%-8.0%-8.0%
2004-03-16,2133242178,94.15%-5.48%-0.34%,18.7%-10.6%-10.6%-3.4%-3.1%
2004-03-17,2883715553,93.76%-5.41%-0.67%,11.4%-10.9%-6.9%-4.0%-4.0%
2004-03-18,2953726726,95.60%-3.53%-0.73%,10.6%-7.6%-6.9%-4.7%-4.7%
2004-03-19,2763662579,96.26%-2.95%-0.66%,11.8%-9.0%-9.0%-3.8%-3.8%
2004-03-20,2739107196,84.05%-15.00%-0.83%,16.6%-6.2%-6.2%-6.1%-3.6%
2004-03-21,2724052106,93.63%-5.59%-0.68%,16.4%-16.4%-14.2%-6.5%-6.5%
2004-03-22,2744298581,95.54%-3.66%-0.68%,13.3%-8.7%-8.7%-3.8%-3.7%
2004-03-23,2918992156,96.33%-2.67%-0.83%,32.5%-3.5%-3.5%-3.0%-3.0%
2004-03-24,2851682840,94.02%-5.16%-0.66%,46.9%-2.7%-2.2%-2.1%-2.1%
2004-03-25,2985912747,94.77%-4.51%-0.57%,39.3%-5.0%-3.3%-2.2%-2.1%
2004-03-26,2989648310,96.21%-3.06%-0.57%,34.9%-4.4%-4.0%-4.0%-3.6%
2004-03-27,2751012971,97.15%-2.08%-0.65%,43.0%-4.5%-3.2%-2.9%-2.7%
2004-03-28,2704680484,95.43%-3.82%-0.64%,50.3%-7.2%-4.8%-4.6%-3.6%
2004-03-29,2852211271,95.15%-4.03%-0.67%,35.1%-5.5%-5.4%-4.1%-3.6%
2004-03-30,3052471101,96.72%-2.52%-0.59%,34.5%-7.3%-6.6%-3.9%-2.5%
2004-03-31,2883805924,97.03%-2.14%-0.71%,45.0%-5.7%-3.2%-2.6%-2.1%
2004-04-01,2991578470,96.34%-2.45%-1.07%,43.8%-4.1%-3.6%-2.7%-2.2%
2004-04-02,2936039124,95.53%-3.71%-0.64%,34.3%-11.1%-5.0%-3.3%-3.1%
2004-04-03,2817322283,92.79%-2.46%-4.65%,45.2%-4.3%-4.1%-3.0%-2.7%
2004-04-04,2662251958,96.28%-3.02%-0.62%,40.0%-4.9%-4.8%-4.8%-4.5%
2004-04-05,3051941921,97.42%-1.85%-0.58%,41.5%-8.4%-5.0%-2.4%-2.3%
2004-04-06,2776616309,95.09%-3.95%-0.83%,35.9%-3.1%-2.8%-2.7%-2.5%
2004-04-07,3854795944,56.14%-43.37%-0.38%,41.7%-41.7%-27.4%-2.5%-2.0%
2004-04-08,3072097806,96.51%-2.57%-0.75%,31.9%-5.6%-3.1%-2.8%-2.2%
2004-04-09,2800448671,95.72%-3.48%-0.66%,29.5%-8.2%-8.2%-3.1%-2.8%
2004-04-10,2636790538,93.48%-5.75%-0.68%,37.3%-3.9%-3.6%-3.5%-3.1%
2004-04-11,2898338464,96.09%-1.86%-1.93%,29.1%-7.4%-7.4%-4.5%-3.7%
2004-04-12,2976505720,97.07%-2.20%-0.58%,26.7%-4.6%-4.4%-4.4%-2.9%
2004-04-13,2980127831,96.86%-2.29%-0.69%,24.8%-3.8%-3.2%-3.2%-2.7%
2004-04-14,2967793960,96.22%-2.97%-0.63%,24.0%-4.3%-4.3%-2.4%-2.3%
2004-04-15,2986735476,96.00%-3.19%-0.63%,33.4%-3.7%-2.9%-2.2%-2.1%
2004-04-16,3109368454,95.59%-3.56%-0.63%,26.4%-6.4%-3.7%-2.7%-2.7%
2004-04-17,2869606663,96.01%-3.13%-0.72%,35.8%-7.5%-5.3%-5.3%-5.0%
2004-04-18,2761323232,92.41%-2.48%-4.94%,27.9%-6.3%-5.7%-5.6%-5.6%
2004-04-19,3059918212,79.89%-18.93%-0.97%,22.0%-9.9%-9.9%-5.1%-5.1%
2004-04-20,3051133762,96.32%-2.84%-0.64%,25.0%-3.8%-3.1%-2.7%-2.7%
2004-04-21,3038132041,95.28%-4.00%-0.54%,24.6%-4.0%-3.7%-3.5%-3.0%
2004-04-22,3232092145,95.68%-3.47%-0.61%,24.2%-4.8%-3.9%-3.1%-2.4%
2004-04-23,2889531697,94.88%-1.99%-2.92%,30.0%-4.6%-4.2%-4.2%-4.2%
2004-04-24,3028789541,95.91%-3.31%-0.64%,35.7%-5.5%-4.5%-4.3%-3.1%
2004-04-25,2821062329,92.96%-2.47%-4.39%,31.7%-6.5%-5.9%-5.4%-5.4%
2004-04-26,3178572454,93.85%-2.21%-3.71%,34.7%-3.7%-3.2%-3.1%-2.8%
2004-04-27,3180770279,97.03%-2.07%-0.69%,45.7%-3.1%-2.8%-2.5%-2.1%
2004-04-28,3248547310,96.53%-2.49%-0.74%,42.1%-3.6%-3.4%-3.0%-2.8%
2004-04-29,3103669238,96.51%-2.69%-0.61%,48.7%-7.2%-3.0%-2.9%-2.4%
2004-04-30,3137988697,95.65%-1.91%-2.25%,41.0%-4.9%-4.2%-2.2%-2.0%
2004-05-01,3005136916,96.83%-2.42%-0.60%,52.3%-6.3%-3.9%-3.6%-2.0%
2004-05-02,2992031938,93.43%-4.30%-2.15%,55.3%-6.5%-5.0%-3.6%-3.1%
2004-05-03,3015295822,96.67%-2.38%-0.82%,54.7%-4.2%-3.8%-3.6%-3.6%
2004-05-04,3037367256,93.27%-4.15%-2.42%,51.6%-4.1%-3.0%-2.4%-2.3%
2004-05-05,3123737500,96.51%-2.73%-0.59%,46.6%-6.0%-3.9%-3.2%-2.8%
2004-05-06,3325521714,94.68%-4.48%-0.59%,34.4%-3.8%-2.3%-2.0%-1.8%
2004-05-07,3172151969,96.89%-2.29%-0.61%,40.4%-3.3%-2.5%-1.8%-1.6%
2004-05-08,3090685280,96.38%-2.71%-0.74%,47.8%-4.1%-3.9%-2.3%-1.7%
2004-05-09,3070858222,95.89%-2.29%-1.69%,54.7%-4.2%-3.7%-2.6%-2.4%
2004-05-10,3113385699,97.49%-1.71%-0.61%,40.1%-3.3%-3.1%-3.0%-2.4%
2004-05-11,3132122494,96.86%-2.33%-0.61%,38.2%-3.4%-2.9%-2.6%-2.3%
2004-05-12,3392505062,96.84%-2.27%-0.68%,34.7%-10.6%-2.5%-2.3%-1.9%
2004-05-13,3189780382,94.34%-4.86%-0.60%,35.7%-5.3%-3.5%-2.9%-2.7%
2004-05-14,3206734046,96.40%-2.79%-0.62%,37.5%-6.7%-3.5%-2.4%-2.2%
2004-05-15,2979968175,96.62%-2.71%-0.54%,46.8%-7.7%-3.6%-2.9%-2.2%
2004-05-16,3082022444,96.04%-2.40%-1.44%,41.5%-8.5%-3.2%-3.0%-3.0%
2004-05-17,3164622776,96.89%-2.31%-0.61%,34.6%-7.9%-5.9%-2.4%-2.4%
2004-05-18,3060288641,94.37%-4.63%-0.78%,36.5%-5.1%-3.7%-3.2%-2.0%
2004-05-19,3327937235,96.15%-2.93%-0.72%,34.1%-6.2%-3.4%-3.3%-2.5%
2004-05-21,4451150674,91.29%-7.93%-0.57%,7.5%-6.7%-5.0%-3.9%-2.6%
2004-05-22,2824647674,94.88%-4.40%-0.59%,13.0%-9.5%-8.7%-5.3%-5.2%
2004-05-23,1799234997,90.14%-8.41%-1.34%,10.3%-10.3%-7.1%-6.1%-5.9%
2004-05-24,2991079301,95.80%-3.28%-0.75%,7.0%-6.7%-6.2%-5.4%-5.2%
2004-05-25,3188183687,94.39%-4.54%-0.75%,7.0%-4.1%-3.9%-3.4%-3.3%
2004-05-26,3130548273,94.58%-4.68%-0.55%,9.6%-6.8%-6.8%-4.5%-4.4%
2004-05-27,3224474399,95.66%-3.49%-0.63%,8.4%-6.9%-6.9%-5.6%-5.6%
2004-05-28,3022771983,97.08%-2.11%-0.64%,6.9%-6.9%-6.0%-5.9%-3.9%
2004-05-29,2645139710,95.20%-4.01%-0.69%,8.6%-8.6%-8.2%-8.2%-4.8%
2004-05-30,2231022795,92.97%-6.11%-0.82%,16.5%-16.5%-13.2%-9.3%-9.3%
2004-05-31,2958812946,94.56%-4.56%-0.72%,8.7%-8.7%-6.2%-4.1%-4.0%
2004-06-01,2887066739,95.21%-4.10%-0.55%,7.1%-7.1%-6.6%-5.9%-5.6%
2004-06-02,2640303042,96.12%-2.83%-0.92%,8.5%-8.3%-7.6%-6.2%-4.8%
2004-06-03,2934304143,96.11%-3.13%-0.64%,7.3%-7.3%-7.1%-6.8%-6.1%
2004-06-04,2894968021,95.85%-3.52%-0.51%,6.1%-5.1%-4.8%-4.5%-3.3%
2004-06-05,2554048920,83.31%-15.98%-0.59%,13.3%-8.0%-7.2%-6.6%-6.5%
2004-06-06,2042820180,90.07%-9.14%-0.72%,22.9%-21.1%-16.4%-10.6%-8.4%
2004-06-07,2951290250,94.38%-5.03%-0.45%,13.1%-6.8%-3.0%-2.9%-2.5%
2004-06-08,2648181057,93.22%-6.18%-0.50%,9.7%-3.9%-3.5%-3.4%-3.3%
2004-06-09,2779464627,95.57%-3.79%-0.53%,8.9%-5.1%-3.2%-3.1%-2.9%
2004-06-10,2590869357,94.05%-5.13%-0.71%,7.9%-7.3%-3.6%-3.6%-3.6%
2004-06-11,2601077570,95.62%-3.73%-0.55%,5.2%-4.9%-4.9%-3.9%-3.6%
2004-06-12,2328661434,93.97%-5.44%-0.53%,18.5%-18.5%-11.2%-9.9%-7.7%
2004-06-13,2032633646,95.27%-4.07%-0.60%,29.1%-29.1%-11.8%-11.0%-9.6%
2004-06-14,2776002361,92.80%-6.56%-0.52%,10.1%-7.4%-7.4%-5.0%-4.2%
2004-06-15,2877994601,95.76%-3.55%-0.54%,8.8%-7.3%-7.3%-4.9%-3.4%
2004-06-16,2855838398,95.00%-4.28%-0.58%,9.5%-9.5%-5.7%-5.1%-5.1%
2004-06-17,2981576169,95.84%-3.43%-0.58%,7.1%-7.1%-5.5%-5.2%-4.6%
2004-06-18,2698071028,94.34%-4.68%-0.85%,8.8%-8.8%-5.9%-5.9%-4.2%
2004-06-19,2601041347,94.16%-5.17%-0.58%,11.9%-11.9%-11.7%-10.7%-8.2%
2004-06-20,2014440658,93.86%-5.34%-0.75%,22.5%-22.5%-15.9%-13.8%-7.5%
2004-06-21,2673001580,92.35%-6.89%-0.66%,11.3%-7.3%-5.6%-5.6%-4.3%
2004-06-22,2746172909,94.96%-4.37%-0.55%,7.1%-5.8%-5.5%-5.5%-5.2%
2004-06-23,2981040516,96.78%-2.58%-0.50%,6.9%-6.5%-6.4%-6.3%-6.3%
2004-06-24,2797560883,94.84%-4.53%-0.51%,6.7%-6.6%-6.6%-6.0%-5.8%
2004-06-25,2853112320,94.67%-4.66%-0.55%,10.2%-8.2%-8.2%-3.9%-3.9%
2004-06-26,2267594050,93.13%-6.13%-0.66%,18.3%-18.3%-9.3%-5.5%-5.5%
2004-06-27,2412054381,95.26%-4.17%-0.51%,14.3%-14.3%-13.9%-9.1%-8.0%
2004-06-28,2938510534,95.42%-3.97%-0.48%,10.5%-10.5%-6.0%-6.0%-4.7%
2004-06-29,3195188339,96.63%-2.71%-0.49%,12.5%-6.3%-5.4%-5.2%-4.6%
2004-06-30,2721657534,94.37%-4.21%-0.66%,10.7%-9.5%-6.5%-6.0%-4.3%
2004-07-01,2670148972,94.28%-4.88%-0.73%,8.3%-8.3%-7.8%-5.6%-4.8%
2004-07-02,3030427823,95.64%-3.80%-0.42%,14.0%-8.0%-5.6%-5.6%-5.6%
2004-07-03,2489648717,94.43%-4.88%-0.60%,14.1%-14.1%-9.7%-8.1%-5.8%
2004-07-04,2401569280,90.75%-8.68%-0.50%,18.9%-18.9%-17.5%-13.5%-10.8%
2004-07-05,2822439735,96.18%-3.24%-0.48%,9.8%-9.0%-8.3%-8.3%-3.3%
2004-07-06,2909301403,97.28%-2.19%-0.43%,11.4%-6.7%-4.6%-4.6%-4.4%
2004-07-07,2862758577,94.34%-5.14%-0.41%,9.5%-8.1%-7.0%-6.2%-6.2%
2004-07-08,3042532716,95.55%-3.96%-0.36%,5.1%-5.0%-4.8%-4.8%-3.4%
2004-07-09,3029055460,96.03%-3.39%-0.45%,7.8%-6.0%-5.6%-5.6%-3.6%
2004-07-10,2742739492,92.80%-6.64%-0.46%,14.3%-10.9%-10.9%-8.2%-8.1%
2004-07-11,2215855678,94.16%-5.24%-0.53%,22.0%-22.0%-21.5%-17.7%-9.2%
2004-07-12,3017115271,94.50%-4.86%-0.51%,8.6%-5.8%-5.7%-5.7%-4.3%
2004-07-13,2959358964,95.34%-4.01%-0.52%,10.6%-5.1%-4.3%-4.3%-4.3%
2004-07-14,3037019630,94.55%-4.82%-0.49%,9.7%-3.4%-2.8%-2.5%-2.5%
2004-07-15,3037860233,95.87%-3.47%-0.52%,7.4%-5.3%-5.0%-4.4%-4.4%
2004-07-16,3003484241,96.01%-3.32%-0.53%,7.9%-6.7%-5.4%-5.1%-5.1%
2004-07-17,2779768153,92.15%-7.05%-0.68%,11.5%-11.5%-11.1%-5.7%-4.6%
2004-07-18,2315126825,96.87%-2.35%-0.71%,19.7%-19.7%-13.5%-12.3%-7.3%
2004-07-19,2867497238,95.97%-3.00%-0.90%,12.4%-11.6%-7.6%-7.6%-5.3%
2004-07-20,2965803469,95.42%-3.86%-0.58%,11.0%-4.5%-4.4%-4.4%-3.4%
2004-07-21,2983073115,95.55%-3.53%-0.76%,11.0%-6.0%-6.0%-5.3%-3.3%
2004-07-22,2949816247,95.23%-4.10%-0.54%,9.0%-6.7%-6.4%-5.8%-5.8%
2004-07-23,2970580021,94.92%-4.39%-0.56%,10.2%-5.8%-5.8%-4.8%-3.4%
2004-07-24,2634390846,96.02%-3.31%-0.56%,16.2%-16.2%-14.2%-11.6%-5.1%
2004-07-25,2509807169,94.36%-4.93%-0.61%,14.8%-12.1%-12.1%-9.4%-4.6%
2004-07-26,2969112595,95.32%-3.92%-0.61%,7.7%-4.4%-4.3%-4.3%-3.5%
2004-07-27,3096338477,95.38%-3.93%-0.54%,13.8%-7.1%-6.5%-6.0%-4.4%
2004-07-28,2764764609,92.47%-6.70%-0.70%,12.1%-7.2%-7.2%-4.4%-3.6%
2004-07-29,2901024859,93.36%-6.02%-0.47%,7.5%-5.2%-5.2%-3.6%-3.4%
2004-07-30,2970855527,93.14%-6.07%-0.64%,8.6%-6.6%-6.6%-4.2%-3.8%
2004-07-31,2750946057,88.20%-11.10%-0.58%,13.7%-7.2%-7.2%-5.9%-3.6%
2004-08-01,2336588746,90.31%-8.91%-0.68%,17.1%-9.9%-9.9%-7.9%-6.7%
2004-08-02,2797190701,27.48%-68.52%-3.89%,37.6%-37.6%-25.7%-25.7%-10.5%
2004-08-03,2947025189,93.11%-6.17%-0.57%,7.0%-5.8%-4.8%-4.8%-3.9%
2004-08-04,2910599330,92.25%-6.92%-0.62%,9.2%-6.4%-6.4%-3.8%-3.5%
2004-08-05,2734395168,93.03%-6.15%-0.65%,9.9%-7.6%-7.6%-6.0%-5.7%
2004-08-06,2871563681,92.89%-6.43%-0.53%,10.7%-6.6%-6.6%-3.2%-3.1%
2004-08-07,2622079391,93.97%-5.30%-0.59%,10.2%-8.8%-8.4%-8.4%-8.3%
2004-08-08,2238799127,92.66%-6.14%-1.06%,13.1%-12.2%-9.2%-9.2%-7.0%
2004-08-09,2799715339,93.49%-5.66%-0.69%,10.5%-6.6%-6.6%-4.6%-3.6%
2004-08-10,2872143457,91.82%-7.43%-0.59%,9.7%-7.2%-7.2%-4.9%-3.7%
2004-08-11,2872061755,93.66%-5.64%-0.54%,9.5%-7.0%-7.0%-6.8%-5.0%
2004-08-12,2924175834,92.34%-6.87%-0.60%,8.2%-7.0%-7.0%-4.9%-4.5%
2004-08-13,2788345458,93.18%-5.91%-0.73%,10.4%-7.5%-7.5%-4.4%-4.0%
2004-08-14,2286568523,87.40%-10.25%-0.80%,10.0%-10.0%-9.7%-4.6%-4.6%
2004-08-15,2408178382,93.40%-5.68%-0.79%,14.0%-9.6%-9.6%-6.0%-6.0%
2004-08-16,2787968154,91.74%-7.39%-0.69%,7.7%-7.7%-6.2%-5.5%-5.5%
2004-08-17,2702210974,92.03%-7.03%-0.78%,7.1%-7.1%-6.6%-5.6%-4.3%
2004-08-18,2997787548,91.29%-7.87%-0.64%,6.8%-5.9%-5.9%-4.2%-4.1%
2004-08-19,3051379637,90.35%-8.81%-0.63%,10.8%-6.2%-6.2%-3.1%-3.0%
2004-08-20,3130613990,91.03%-7.43%-0.62%,11.3%-5.5%-5.5%-4.5%-3.9%
2004-08-21,2655301280,94.65%-4.62%-0.57%,18.0%-8.1%-7.8%-6.6%-4.5%
2004-08-22,2425809310,94.02%-5.17%-0.65%,12.3%-9.4%-9.4%-8.7%-4.0%
2004-08-23,3176525345,93.96%-5.19%-0.65%,10.2%-9.9%-6.5%-5.0%-4.1%
2004-08-24,3193233013,92.99%-6.20%-0.59%,13.7%-5.9%-5.9%-4.4%-4.2%
2004-08-25,3182755223,93.79%-5.56%-0.44%,13.4%-9.1%-4.1%-4.1%-3.6%
2004-08-26,2688934505,92.96%-6.31%-0.55%,16.1%-5.8%-3.3%-2.9%-2.9%
2004-08-27,2733793879,92.91%-6.33%-0.57%,14.9%-7.7%-4.8%-3.9%-3.0%
2004-08-28,2618305063,95.06%-4.03%-0.73%,22.0%-10.1%-5.9%-5.6%-3.2%
2004-08-29,2193081227,93.12%-6.00%-0.74%,12.7%-12.6%-5.8%-5.7%-5.6%
2004-08-30,2401580098,93.60%-5.56%-0.70%,15.1%-9.5%-4.0%-3.9%-3.3%
2004-08-31,2562596001,90.42%-8.72%-0.71%,15.0%-9.1%-9.1%-4.5%-4.5%
2004-09-01,2927079874,93.32%-5.80%-0.68%,14.5%-4.5%-3.4%-3.3%-3.3%
2004-09-02,2926114863,93.22%-6.05%-0.57%,8.9%-5.5%-4.5%-4.4%-4.0%
2004-09-03,2739589857,92.76%-6.50%-0.57%,22.8%-3.1%-3.0%-2.8%-2.7%
2004-09-04,2378930131,90.37%-8.76%-0.70%,23.0%-8.7%-3.8%-3.8%-3.7%
2004-09-05,1837260539,92.54%-6.38%-0.95%,27.8%-4.8%-3.5%-3.5%-2.6%
2004-09-06,2661726864,91.83%-7.37%-0.64%,8.7%-5.5%-4.5%-4.1%-4.1%
2004-09-07,2719952040,89.95%-7.07%-0.62%,15.5%-4.8%-4.1%-3.9%-3.8%
2004-09-08,2568702978,91.19%-6.57%-0.65%,13.7%-4.4%-3.4%-2.8%-2.7%
2004-09-09,2889111247,95.11%-4.21%-0.50%,12.6%-9.6%-9.2%-4.2%-3.9%
2004-09-10,2529413036,73.87%-25.13%-0.68%,18.7%-18.6%-11.1%-3.8%-3.6%
2004-09-11,2210299704,91.16%-6.49%-1.21%,16.6%-5.1%-4.8%-4.2%-4.1%
2004-09-12,2100825549,91.82%-7.33%-0.69%,28.3%-9.3%-5.5%-4.3%-4.3%
2004-09-13,2783575234,71.47%-27.65%-0.65%,13.3%-10.0%-10.0%-6.1%-6.1%
2004-09-14,3023612023,90.11%-9.12%-0.59%,11.5%-5.4%-4.0%-3.8%-3.8%
2004-09-15,3164529351,91.80%-7.18%-0.81%,10.5%-5.2%-3.9%-3.8%-3.5%
2004-09-16,2788649092,93.05%-6.19%-0.60%,9.1%-6.8%-5.4%-5.3%-4.1%
2004-09-17,2614178922,93.21%-5.97%-0.65%,10.5%-9.0%-6.3%-4.7%-3.7%
2004-09-18,2323065776,93.12%-5.70%-1.02%,13.4%-7.1%-7.0%-5.5%-4.7%
2004-09-19,1976749921,88.36%-10.52%-0.98%,20.0%-5.6%-4.5%-3.9%-3.5%
2004-09-20,2555346718,92.61%-6.88%-0.43%,39.0%-38.7%-8.3%-5.8%-4.9%
2004-09-21,2981502625,93.65%-5.89%-0.34%,17.6%-9.1%-8.7%-6.9%-6.7%
2004-09-22,2876601371,93.73%-5.61%-0.52%,12.2%-6.0%-5.1%-4.9%-4.6%
2004-09-23,2475320938,90.63%-8.78%-0.50%,10.6%-7.3%-6.4%-6.2%-5.8%
2004-09-24,3187851195,94.63%-4.25%-0.45%,17.2%-14.3%-13.3%-8.8%-6.5%
2004-09-25,3251641435,94.43%-5.07%-0.38%,30.8%-30.8%-10.7%-7.2%-3.2%
2004-09-26,2751061066,95.49%-3.93%-0.49%,21.7%-16.8%-16.2%-8.2%-7.2%
